Attribute,Description,Value,Meaning
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6A,Jobstarter
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6B,Petty Bourgeois
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6C,Long-established
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6D,Sportgardener
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6E,Urban Parents
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6F,Frugal Aging
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7A,Journeymen
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7B,Mantaplatte
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7C,Factory Worker
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7D,Rear Window
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7E,Interested Retirees
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,8A,Multi-culteral
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,8B,Young & Mobile
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,8C,Prefab
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,8D,Town Seniors
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9A,First Shared Apartment
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9B,Temporary Workers
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9C,Afternoon Talk Show
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9D,Mini-Jobber
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9E,Socking Away
CAMEO_DEUINTL_2015,CAMEO classification 2015 - international typology,-1,unknown
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),11,Wealthy Households-Pre-Family Couples & Singles
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),12,Wealthy Households-Young Couples With Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),13,Wealthy Households-Families With School Age Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),14,Wealthy Households-Older Families &  Mature Couples
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),15,Wealthy Households-Elders In Retirement
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),21,Prosperous Households-Pre-Family Couples & Singles
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),22,Prosperous Households-Young Couples With Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),23,Prosperous Households-Families With School Age Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),24,Prosperous Households-Older Families & Mature Couples
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),25,Prosperous Households-Elders In Retirement
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),31,Comfortable Households-Pre-Family Couples & Singles
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),32,Comfortable Households-Young Couples With Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),33,Comfortable Households-Families With School Age Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),34,Comfortable Households-Older Families & Mature Couples
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),35,Comfortable Households-Elders In Retirement
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),41,Less Affluent Households-Pre-Family Couples & Singles
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),42,Less Affluent Households-Young Couples With Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),43,Less Affluent Households-Families With School Age Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),44,Less Affluent Households-Older Families & Mature Couples
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),45,Less Affluent Households-Elders In Retirement
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),51,Poorer Households-Pre-Family Couples & Singles
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),52,Poorer Households-Young Couples With Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),53,Poorer Households-Families With School Age Children
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),54,Poorer Households-Older Families & Mature Couples
CAMEO_DEUINTL_2015,(each German CAMEO code belongs to one international code),55,Poorer Households-Elders In Retirement
CJT_GESAMTTYP,customer journey typology,0,unknown
CJT_GESAMTTYP,customer journey typology,1,Advertising- and Consumptionminimalist
CJT_GESAMTTYP,customer journey typology,2,Advertising- and Consumptiontraditionalist
CJT_GESAMTTYP,customer journey typology,3,advertisinginterested Store-shopper
CJT_GESAMTTYP,customer journey typology,4,advertisinginterested Online-shopper
CJT_GESAMTTYP,customer journey typology,5,Advertising- and Cross-Channel-Enthusiast
CJT_GESAMTTYP,customer journey typology,6,Advertising-Enthusiast with restricted Cross-Channel-Behaviour 
D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,0,no transactions known
D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,1,very low activity
D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,2,low activity
D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,3,slightly increased activity
D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,4,increased activity
D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,5,high activity
D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,6,very high activity
D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,0,no transactions known
D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,1,very low activity
D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,2,low activity
D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,3,slightly increased activity
D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,4,increased activity
D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,5,high activity
D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,6,very high activity
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,1,highest activity within the last 12 months
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,2,very high activity within the last 12 months
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,3,high activity within the last 12 months
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,4,increased activity within the last 12 months
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,5,slightly increased activity within the last 12 months
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,6,activity elder than 1 year
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,7,"activity elder than 1,5 years"
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,8,activity elder than 2 years
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,9,activity elder than 3 years
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,10,no transactions known
D19_BANKEN_DIREKT_RZ,transactional activity based on the product group DIRECT BANKS,0,no transaction known
D19_BANKEN_DIREKT_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_BANKEN_DIREKT_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_BANKEN_DIREKT_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_BANKEN_DIREKT_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_BANKEN_DIREKT_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_BANKEN_DIREKT_RZ, - on grid level -,6,Buyer > 24 months
D19_BANKEN_DIREKT_RZ, - on grid level -,7,Prospects > 24 months
D19_BANKEN_GROSS_RZ,transactional activity based on the product group BIG BANKS,0,no transaction known
D19_BANKEN_GROSS_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_BANKEN_GROSS_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_BANKEN_GROSS_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_BANKEN_GROSS_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_BANKEN_GROSS_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_BANKEN_GROSS_RZ, - on grid level -,6,Buyer > 24 months
D19_BANKEN_GROSS_RZ, - on grid level -,7,Prospects > 24 months
D19_BANKEN_LOKAL_RZ,transactional activity based on the product group LOCAL BANKS,0,no transaction known
D19_BANKEN_LOKAL_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_BANKEN_LOKAL_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_BANKEN_LOKAL_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_BANKEN_LOKAL_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_BANKEN_LOKAL_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_BANKEN_LOKAL_RZ, - on grid level -,6,Buyer > 24 months
D19_BANKEN_LOKAL_RZ, - on grid level -,7,Prospects > 24 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,1,highest activity within the last 12 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,2,very high activity within the last 12 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,3,high activity within the last 12 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,4,increased activity within the last 12 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,5,slightly increased activity within the last 12 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,6,activity elder than 12 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,7,activity elder than 18 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,8,activity elder than 24 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,9,activity elder than 36 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,10,no transactions known
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,1,highest activity within the last 12 months
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,2,very high activity within the last 12 months
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,3,high activity within the last 12 months
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,4,increased activity within the last 12 months
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,5,slightly increased activity within the last 12 months
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,6,activity elder than 12 months
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,7,activity elder than 18 months
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,8,activity elder than 24 months
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,9,activity elder than 36 months
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,10,no transactions known
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,0,no Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,1,10% Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,2,20% Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,3,30% Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,4,40% Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,5,50% Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,6,60% Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,7,70% Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,8,80% Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,9,90% Online-transactions within the last 12 months
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,10,100% Online-transactions within the last 12 months
D19_BANKEN_REST_RZ,transactional activity based on the product group FURTHER BANKS,0,no transaction known
D19_BANKEN_REST_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_BANKEN_REST_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_BANKEN_REST_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_BANKEN_REST_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_BANKEN_REST_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_BANKEN_REST_RZ, - on grid level -,6,Buyer > 24 months
D19_BANKEN_REST_RZ, - on grid level -,7,Prospects > 24 months
D19_BEKLEIDUNG_GEH_RZ,transactional activity based on the product group LUXURY CLOTHING,0,no transaction known
D19_BEKLEIDUNG_GEH_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_BEKLEIDUNG_GEH_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_BEKLEIDUNG_GEH_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_BEKLEIDUNG_GEH_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_BEKLEIDUNG_GEH_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_BEKLEIDUNG_GEH_RZ, - on grid level -,6,Buyer > 24 months
D19_BEKLEIDUNG_GEH_RZ, - on grid level -,7,Prospects > 24 months
D19_BEKLEIDUNG_REST_RZ,transactional activity based on the product group FURTHER CLOTHING,0,no transaction known
D19_BEKLEIDUNG_REST_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_BEKLEIDUNG_REST_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_BEKLEIDUNG_REST_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_BEKLEIDUNG_REST_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_BEKLEIDUNG_REST_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_BEKLEIDUNG_REST_RZ, - on grid level -,6,Buyer > 24 months
D19_BEKLEIDUNG_REST_RZ, - on grid level -,7,Prospects > 24 months
D19_BILDUNG_RZ,transactional activity based on the product group EDUCATION,0,no transaction known
D19_BILDUNG_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_BILDUNG_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_BILDUNG_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_BILDUNG_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_BILDUNG_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_BILDUNG_RZ, - on grid level -,6,Buyer > 24 months
D19_BILDUNG_RZ, - on grid level -,7,Prospects > 24 months
D19_BIO_OEKO_RZ,transactional activity based on the product group ECOLOGICALS,0,no transaction known
D19_BIO_OEKO_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_BIO_OEKO_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_BIO_OEKO_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_BIO_OEKO_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_BIO_OEKO_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_BIO_OEKO_RZ, - on grid level -,6,Buyer > 24 months
D19_BIO_OEKO_RZ, - on grid level -,7,Prospects > 24 months
D19_BUCH_RZ,transactional activity based on the product group BOOKS and CDS,0,no transaction known
D19_BUCH_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_BUCH_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_BUCH_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_BUCH_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_BUCH_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_BUCH_RZ, - on grid level -,6,Buyer > 24 months
D19_BUCH_RZ, - on grid level -,7,Prospects > 24 months
D19_DIGIT_SERV_RZ,transactional activity based on the product group DIGITAL SERVICES,0,no transaction known
D19_DIGIT_SERV_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_DIGIT_SERV_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_DIGIT_SERV_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_DIGIT_SERV_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_DIGIT_SERV_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_DIGIT_SERV_RZ, - on grid level -,6,Buyer > 24 months
D19_DIGIT_SERV_RZ, - on grid level -,7,Prospects > 24 months
D19_DROGERIEARTIKEL_RZ,transactional activity based on the product group DRUGSTORES,0,no transaction known
D19_DROGERIEARTIKEL_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_DROGERIEARTIKEL_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_DROGERIEARTIKEL_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_DROGERIEARTIKEL_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_DROGERIEARTIKEL_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_DROGERIEARTIKEL_RZ, - on grid level -,6,Buyer > 24 months
D19_DROGERIEARTIKEL_RZ, - on grid level -,7,Prospects > 24 months
D19_ENERGIE_RZ,transactional activity based on the product group ENERGY,0,no transaction known
D19_ENERGIE_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_ENERGIE_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_ENERGIE_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_ENERGIE_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_ENERGIE_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_ENERGIE_RZ, - on grid level -,6,Buyer > 24 months
D19_ENERGIE_RZ, - on grid level -,7,Prospects > 24 months
D19_FREIZEIT_RZ,transactional activity based on the product group LEISURE PRODUCTS,0,no transaction known
D19_FREIZEIT_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_FREIZEIT_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_FREIZEIT_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_FREIZEIT_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_FREIZEIT_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_FREIZEIT_RZ, - on grid level -,6,Buyer > 24 months
D19_FREIZEIT_RZ, - on grid level -,7,Prospects > 24 months
D19_GARTEN_RZ,transactional activity based on the product group GARDENING PRODUCTS,0,no transaction known
D19_GARTEN_RZ, - on grid level -,1,Multibuyer 0-12 months
D19_GARTEN_RZ, - on grid level -,2,Doublebuyer 0-12 months
D19_GARTEN_RZ, - on grid level -,3,Singlebuyer 0-12 months
D19_GARTEN_RZ, - on grid level -,4,Multi-/Doublebuyer 13-24 months
D19_GARTEN_RZ, - on grid level -,5,Singlebuyer 13-24 months
D19_GARTEN_RZ, - on grid level -,6,Buyer > 24 months
D19_GARTEN_RZ, - on grid level -,7,Prospects > 24 months
D19_GESAMT_ANZ_12,transaction activity TOTAL POOL in the last 12 months ,0,no transactions known
D19_GESAMT_ANZ_12,transaction activity TOTAL POOL in the last 12 months ,1,very low activity
D19_GESAMT_ANZ_12,transaction activity TOTAL POOL in the last 12 months ,2,low activity
D19_GESAMT_ANZ_12,transaction activity TOTAL POOL in the last 12 months ,3,slightly increased activity
D19_GESAMT_ANZ_12,transaction activity TOTAL POOL in the last 12 months ,4,increased activity
D19_GESAMT_ANZ_12,transaction activity TOTAL POOL in the last 12 months ,5,high activity
D19_GESAMT_ANZ_12,transaction activity TOTAL POOL in the last 12 months ,6,very high activity
D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 24 months ,0,no transactions known
D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 24 months ,1,very low activity
D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 24 months ,2,low activity
D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 24 months ,3,slightly increased activity
D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 24 months ,4,increased activity
D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 24 months ,5,high activity
D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 24 months ,6,very high activity
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,1,highest activity within the last 12 months
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,2,very high activity within the last 12 months
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,3,high activity within the last 12 months
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,4,increased activity within the last 12 months
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,5,slightly increased activity within the last 12 months
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,6,activity elder than 1 year
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,7,"activity elder than 1,5 years"
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,8,activity elder than 2 years
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,9,activity elder than 3 years
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,10,no transactions known
D19_GESAMT_OFFLINE_DATUM,actuality of the last transaction with the complete file OFFLINE,1,highest activity within the last 12 months
